trip\01\00009.wav=Adam, @20356
trip\01\00147.wav=Chris, @36336
trip\01\00148.wav=Chris, @36452
trip\01\00149.wav=Chris, @36568
trip\01\00150.wav=Chris, @36684
trip\01\00151.wav=Chris, @36800
trip\01\00152.wav=Chris, @36916
trip\01\00153.wav=Dan, @37032
trip\01\00154.wav=Dan!! @37140
trip\01\00155.wav=Dan, @37252
trip\01\00156.wav=Dan, @37360
trip\01\00157.wav=Dan, @37468
trip\01\00158.wav=Dan, @37576
trip\01\00159.wav=Dan, @37684
trip\01\00160.wav=Dan, @37792
trip\01\00161.wav=Dave, @37900
trip\01\00162.wav=Dave!! @38012
trip\01\00163.wav=Dave, @38128
trip\01\00164.wav=Dave, @38240
trip\01\00165.wav=Dave, @38352
trip\01\00166.wav=Dave, @38464
trip\01\00167.wav=Dave, @38576
trip\01\00168.wav=Dave, @38688
trip\01\00169.wav=Diana, @38808
trip\01\00170.wav=Diana!! @38932
trip\01\00171.wav=Diana, @39060
trip\01\00172.wav=Diana, @39184
trip\01\00173.wav=Diana, @39308
trip\01\00174.wav=Diana, @39432
trip\01\00175.wav=Diana, @39556
trip\01\00176.wav=Diana, @39680
trip\01\00177.wav=Doug, @39796
trip\01\00178.wav=Doug!! @39908
trip\01\00179.wav=Doug, @40024
trip\01\00180.wav=Doug, @40136
trip\01\00181.wav=Doug, @40248
trip\01\00182.wav=Doug, @40360
trip\01\00183.wav=Doug, @40472
trip\01\00184.wav=Doug, @40584
trip\01\00185.wav=Ed, @40692
trip\01\00186.wav=Ed!! @40792
trip\01\00187.wav=Ed, @40896
trip\01\00188.wav=Ed, @40996
trip\01\00189.wav=Ed, @41096
trip\01\00190.wav=Ed, @41196
trip\01\00191.wav=Ed, @41296
trip\01\00192.wav=Ed, @41396
trip\01\00193.wav=Ellen, @41504
trip\01\00194.wav=Ellen!! @41624
trip\01\00195.wav=Ellen, @41748
trip\01\00196.wav=Ellen, @41868
trip\01\00197.wav=Ellen, @41988
trip\01\00198.wav=Ellen, @42108
trip\01\00199.wav=Ellen, @42228
trip\01\00200.wav=Ellen, @42348
trip\01\00201.wav=Emily, @42472
trip\01\00202.wav=Emily!! @42596
trip\01\00203.wav=Emily, @42724
trip\01\00204.wav=Emily, @42848
trip\01\00205.wav=Emily, @42972
trip\01\00206.wav=Emily, @43096
trip\01\00207.wav=Emily, @43220
trip\01\00208.wav=Emily, @43344
trip\01\00209.wav=Eric, @43465
trip\01\00210.wav=Eric!! @43580
trip\01\00211.wav=Eric, @43700
trip\01\00212.wav=Eric, @43816
trip\01\00213.wav=Eric, @43932
trip\01\00214.wav=Eric, @44048
trip\01\00215.wav=Eric, @44164
trip\01\00216.wav=Eric, @44280
trip\01\00217.wav=Erin, @44396
trip\01\00218.wav=Erin!! @44512
trip\01\00219.wav=Erin, @44632
trip\01\00220.wav=Erin, @44748
trip\01\00221.wav=Erin, @44864
trip\01\00222.wav=Erin, @44980
trip\01\00223.wav=Erin, @45096
trip\01\00224.wav=Erin, @45212
trip\01\00225.wav=Espen, @45332
trip\01\00226.wav=Espen!! @45456
trip\01\00227.wav=Espen, @45584
trip\01\00228.wav=Espen, @45708
trip\01\00229.wav=Espen, @45832
trip\01\00230.wav=Espen, @45956
trip\01\00231.wav=Espen, @46080
trip\01\00232.wav=Espen, @46204
trip\01\00233.wav=George, @46324
trip\01\00234.wav=George!! @46448
trip\01\00235.wav=George, @46576
trip\01\00236.wav=George, @46700
trip\01\00237.wav=George, @46824
trip\01\00238.wav=George, @46948
trip\01\00239.wav=George, @47072
trip\01\00240.wav=George, @47196
trip\01\00241.wav=Genevra, @47324
trip\01\00242.wav=Genevra!! @47456
trip\01\00243.wav=Genevra, @47592
trip\01\00244.wav=Genevra, @47724
trip\01\00245.wav=Genevra, @47856
trip\01\00246.wav=Genevra, @47988
trip\01\00247.wav=Genevra, @48120
trip\01\00248.wav=Genevra, @48252
trip\01\00249.wav=Gonzalo, @48392
trip\01\00250.wav=Gonzalo!! @48532
trip\01\00251.wav=Gonzalo, @48676
trip\01\00252.wav=Gonzalo, @48816
trip\01\00253.wav=Gonzalo, @48956
trip\01\00254.wav=Gonzalo, @49096
trip\01\00255.wav=Gonzalo, @49236
trip\01\00256.wav=Gonzalo, @49376
trip\01\00257.wav=Greg, @49500
trip\01\00258.wav=Greg!! @49612
trip\01\00259.wav=Greg, @49728
trip\01\00260.wav=Greg, @49840
trip\01\00261.wav=Greg, @49952
trip\01\00262.wav=Greg, @50064
trip\01\00263.wav=Greg, @50176
trip\01\00264.wav=Greg, @50288
trip\01\00265.wav=Heather, @50396
trip\01\00266.wav=Heather!! @50516
trip\01\00267.wav=Heather, @50640
trip\01\00268.wav=Heather, @50760
trip\01\00269.wav=Heather, @50880
trip\01\00270.wav=Heather, @51000
trip\01\00271.wav=Heather, @51120
trip\01\00272.wav=Heather, @51240
trip\01\00273.wav=Ian, @51364
trip\01\00274.wav=Ian!! @51472
trip\01\00275.wav=Ian, @51584
trip\01\00276.wav=Ian, @51692
trip\01\00277.wav=Ian, @51800
trip\01\00278.wav=Ian, @51908
trip\01\00279.wav=Ian, @52016
trip\01\00280.wav=Ian, @52124
trip\01\00281.wav=Jane, @52232
trip\01\00282.wav=Jane!! @52344
trip\01\00283.wav=Jane, @52460
trip\01\00284.wav=Jane, @52572
trip\01\00285.wav=Jane, @52684
trip\01\00286.wav=Jane, @52796
trip\01\00287.wav=Jane, @52908
trip\01\00288.wav=Jane, @53020
trip\01\00289.wav=Janet, @53140
trip\01\00290.wav=Janet!! @53264
trip\01\00291.wav=Janet, @53392
trip\01\00292.wav=Janet, @53516
trip\01\00293.wav=Janet, @53640
trip\01\00294.wav=Janet, @53764
trip\01\00295.wav=Janet, @53888
trip\01\00296.wav=Janet, @54012
trip\01\00297.wav=Jared, @54136
trip\01\00298.wav=Jared!! @54260
trip\01\00299.wav=Jared, @54388
trip\01\00300.wav=Jared, @54512
trip\01\00301.wav=Jared, @54636
trip\01\00302.wav=Jared, @54760
trip\01\00303.wav=Jared, @54884
trip\01\00304.wav=Jared, @55008
trip\01\00305.wav=Jeff, @55124
trip\01\00306.wav=Jeff!! @55236
trip\01\00307.wav=Jeff, @55352
trip\01\00308.wav=Jeff, @55464
trip\01\00309.wav=Jeff, @55576
trip\01\00310.wav=Jeff, @55688
trip\01\00311.wav=Jeff, @55800
trip\01\00312.wav=Jeff, @55912
trip\01\00313.wav=Jen, @56024
trip\01\00314.wav=Jen!! @56132
trip\01\00315.wav=Jen, @56244
trip\01\00316.wav=Jen, @56352
trip\01\00317.wav=Jen, @56460
trip\01\00318.wav=Jen, @56568
trip\01\00319.wav=Jen, @56676
trip\01\00320.wav=Jen, @56784
trip\01\00321.wav=Jesper, @56896
trip\01\00322.wav=Jesper!! @57020
trip\01\00323.wav=Jesper, @57148
trip\01\00324.wav=Jesper, @57272
trip\01\00325.wav=Jesper, @57396
trip\01\00326.wav=Jesper, @57520
trip\01\00327.wav=Jesper, @57644
trip\01\00328.wav=Jesper, @57768
trip\01\00329.wav=Jess, @57888
trip\01\00330.wav=Jess!! @58000
trip\01\00331.wav=Jess, @58116
trip\01\00332.wav=Jess, @58228
trip\01\00333.wav=Jess, @58340
trip\01\00334.wav=Jess, @58452
trip\01\00335.wav=Jess, @58564
trip\01\00336.wav=Jess, @58676
trip\01\00337.wav=Jill, @58788
trip\01\00338.wav=Jill!! @58900
trip\01\00339.wav=Jill, @59016
trip\01\00340.wav=Jill, @59128
trip\01\00341.wav=Jill, @59240
trip\01\00342.wav=Jill, @59352
trip\01\00343.wav=Jill, @59464
trip\01\00344.wav=Jill, @59576
trip\01\00345.wav=Jim, @59688
trip\01\00346.wav=Jim!! @59796
trip\01\00347.wav=Jim, @59908
trip\01\00348.wav=Jim, @60016
trip\01\00349.wav=Jim, @60124
trip\01\00350.wav=Jim, @60232
trip\01\00351.wav=Jim, @60340
trip\01\00352.wav=Jim, @60448
trip\01\00353.wav=Andrew, @22960
trip\01\00354.wav=Andrew!! @23084
trip\01\00355.wav=Andrew, @23212
trip\01\00356.wav=Andrew, @23336
trip\01\00357.wav=Andrew, @23460
trip\01\00358.wav=Andrew, @23584
trip\01\00359.wav=Andrew, @23708
trip\01\00360.wav=Andrew, @23832
trip\01\00361.wav=Jo, @60552
trip\01\00362.wav=Jo!! @60652
trip\01\00363.wav=Jo, @60756
trip\01\00364.wav=Jo, @60856
trip\01\00365.wav=Jo, @60956
trip\01\00366.wav=Jo, @61056
trip\01\00367.wav=Jo, @61156
trip\01\00368.wav=Jo, @61256
trip\01\00369.wav=John, @62196
trip\01\00370.wav=John!! @62308
trip\01\00371.wav=John, @62424
trip\01\00372.wav=John, @62536
trip\01\00373.wav=John, @62648
trip\01\00374.wav=John, @62760
trip\01\00375.wav=John, @62872
trip\01\00376.wav=John, @62984
trip\01\00377.wav=Josh, @63096
trip\01\00378.wav=Josh!! @63208
trip\01\00379.wav=Josh, @63324
trip\01\00380.wav=Josh, @63436
trip\01\00381.wav=Josh, @63548
trip\01\00382.wav=Josh, @63660
trip\01\00383.wav=Josh, @63772
trip\01\00384.wav=Josh, @63884
trip\01\00385.wav=Julie, @64000
trip\01\00386.wav=Julie!! @64120
trip\01\00387.wav=Julie, @64244
trip\01\00388.wav=Julie, @64364
trip\01\00389.wav=Julie, @64484
trip\01\00390.wav=Julie, @64604
trip\01\00391.wav=Julie, @64724
trip\01\00392.wav=Julie, @64844
trip\01\00393.wav=Kate, @64960
trip\01\00394.wav=Kate!! @65072
trip\01\00395.wav=Kate, @65188
trip\01\00396.wav=Kate, @65300
trip\01\00397.wav=Kate, @65412
trip\01\00398.wav=Kate, @65524
trip\01\00399.wav=Kate, @65636
trip\01\00400.wav=Kate, @65748
trip\01\00401.wav=Keith, @65860
trip\01\00402.wav=Keith!! @65976
trip\01\00403.wav=Keith, @66096
trip\01\00404.wav=Keith, @66212
trip\01\00405.wav=Keith, @66328
trip\01\00406.wav=Keith, @66444
trip\01\00407.wav=Keith, @66560
trip\01\00408.wav=Keith, @66676
trip\01\00409.wav=Kelly, @66796
trip\01\00410.wav=Kelly!! @66916
trip\01\00411.wav=Kelly, @67040
trip\01\00412.wav=Kelly, @67160
trip\01\00413.wav=Kelly, @67280
trip\01\00414.wav=Kelly, @67400
trip\01\00415.wav=Kelly, @67520
trip\01\00416.wav=Kelly, @67640
trip\01\00417.wav=Kelly, @67760
trip\01\00418.wav=Kelly!! @67880
trip\01\00419.wav=Kelly, @68004
trip\01\00420.wav=Kelly, @68124
trip\01\00421.wav=Kelly, @68244
trip\01\00422.wav=Kelly, @68364
trip\01\00423.wav=Kelly, @68484
trip\01\00424.wav=Kelly, @68604
trip\01\00425.wav=Kevin, @68728
trip\01\00426.wav=Kevin!! @68852
trip\01\00427.wav=Kevin, @68980
trip\01\00428.wav=Kevin, @69104
trip\01\00429.wav=Kevin, @69228
trip\01\00430.wav=Kevin, @69352
trip\01\00431.wav=Kevin, @69476
trip\01\00432.wav=Kevin, @69600
trip\01\00433.wav=Kim, @69716
trip\01\00434.wav=Kim!! @69824
trip\01\00435.wav=Kim, @69936
trip\01\00436.wav=Kim, @70044
trip\01\00437.wav=Kim, @70152
trip\01\00438.wav=Kim, @70260
trip\01\00439.wav=Kim, @70368
trip\01\00440.wav=Kim, @70476
trip\01\00441.wav=Kha, @70584
trip\01\00442.wav=Kha!! @70692
trip\01\00443.wav=Kha, @70804
trip\01\00444.wav=Kha, @70912
trip\01\00445.wav=Kha, @71020
trip\01\00446.wav=Kha, @71128
trip\01\00447.wav=Kha, @71236
trip\01\00448.wav=Kha, @71344
trip\01\00449.wav=Lisa, @71456
trip\01\00450.wav=Lisa!! @71572
trip\01\00451.wav=Lisa, @71692
trip\01\00452.wav=Lisa, @71808
trip\01\00453.wav=Lisa, @71924
trip\01\00454.wav=Lisa, @72040
trip\01\00455.wav=Lisa, @72156
trip\01\00456.wav=Lisa, @72272
trip\01\00457.wav=Liz, @72384
trip\01\00458.wav=Liz!! @72492
trip\01\00459.wav=Liz, @72604
trip\01\00460.wav=Liz, @72712
trip\01\00461.wav=Liz, @72820
trip\01\00462.wav=Liz, @72928
trip\01\00463.wav=Liz, @73036
trip\01\00464.wav=Liz, @73144
trip\01\00465.wav=Mark, @73257
trip\01\00466.wav=Mark!! @73372
trip\01\00467.wav=Mark, @73492
trip\01\00468.wav=Mark, @73608
trip\01\00469.wav=Mark, @73724
trip\01\00470.wav=Mark, @73840
trip\01\00471.wav=Mark, @73956
trip\01\00472.wav=Mark, @74072
trip\01\00473.wav=Mary, @74188
trip\01\00474.wav=Mary!! @74304
trip\01\00475.wav=Mary, @74424
trip\01\00476.wav=Mary, @74540
trip\01\00477.wav=Mary, @74656
trip\01\00478.wav=Mary, @74772
trip\01\00479.wav=Mary, @74888
trip\01\00480.wav=Mary, @75004
trip\01\00481.wav=Matt, @75116
trip\01\00482.wav=Matt!! @75228
trip\01\00483.wav=Matt, @75344
trip\01\00484.wav=Matt, @75456
trip\01\00485.wav=Matt, @75568
trip\01\00486.wav=Matt, @75680
trip\01\00487.wav=Matt, @75792
trip\01\00488.wav=Matt, @75904
trip\01\00489.wav=Mel, @76016
trip\01\00490.wav=Mel!! @76124
trip\01\00491.wav=Mel, @76236
trip\01\00492.wav=Mel, @76344
trip\01\00493.wav=Mel, @76452
trip\01\00494.wav=Mel, @76560
trip\01\00495.wav=Mel, @76668
trip\01\00496.wav=Mel, @76776
trip\01\00497.wav=Mel, @76884
trip\01\00498.wav=Mel!! @76992
trip\01\00499.wav=Mel, @77104
trip\01\00500.wav=Mel, @77212
trip\02\00501.wav=Mel, @77320
trip\02\00502.wav=Mel, @77428
trip\02\00503.wav=Mel, @77536
trip\02\00504.wav=Mel, @77644
trip\02\00505.wav=Michael, @77760
trip\02\00506.wav=Michael!! @77892
trip\02\00507.wav=Michael, @78028
trip\02\00508.wav=Michael, @78160
trip\02\00509.wav=Michael, @78292
trip\02\00510.wav=Michael, @78424
trip\02\00511.wav=Michael, @78556
trip\02\00512.wav=Michael, @78688
trip\02\00513.wav=Nat, @78812
trip\02\00514.wav=Nat!! @78920
trip\02\00515.wav=Nat, @79032
trip\02\00516.wav=Nat, @79140
trip\02\00517.wav=Nat, @79248
trip\02\00518.wav=Nat, @79356
trip\02\00519.wav=Nat, @79464
trip\02\00520.wav=Nat, @79572
trip\02\00521.wav=Nat, @79680
trip\02\00522.wav=Nat!! @79788
trip\02\00523.wav=Nat, @79900
trip\02\00524.wav=Nat, @80008
trip\02\00525.wav=Nat, @80116
trip\02\00526.wav=Nat, @80224
trip\02\00527.wav=Nat, @80332
trip\02\00528.wav=Nat, @80440
trip\02\00529.wav=Nick, @80548
trip\02\00530.wav=Nick!! @80660
trip\02\00531.wav=Nick, @80776
trip\02\00532.wav=Nick, @80888
trip\02\00533.wav=Nick, @81000
trip\02\00534.wav=Nick, @81112
trip\02\00535.wav=Nick, @81224
trip\02\00536.wav=Nick, @81336
trip\02\00537.wav=Nicole, @81456
trip\02\00538.wav=Nicole!! @81584
trip\02\00539.wav=Nicole, @81716
trip\02\00540.wav=Nicole, @81844
trip\02\00541.wav=Nicole, @81972
trip\02\00542.wav=Nicole, @82100
trip\02\00543.wav=Nicole, @82228
trip\02\00544.wav=Nicole, @82356
trip\02\00545.wav=Noah, @82476
trip\02\00546.wav=Noah!! @82588
trip\02\00547.wav=Noah, @82704
trip\02\00548.wav=Noah, @82816
trip\02\00549.wav=Noah, @82928
trip\02\00550.wav=Noah, @83040
trip\02\00551.wav=Noah, @83152
trip\02\00552.wav=Noah, @83264
trip\02\00553.wav=Olivia, @83388
trip\02\00554.wav=Olivia!! @83520
trip\02\00555.wav=Olivia, @83656
trip\02\00556.wav=Olivia, @83788
trip\02\00557.wav=Olivia, @83920
trip\02\00558.wav=Olivia, @84052
trip\02\00559.wav=Olivia, @84184
trip\02\00560.wav=Olivia, @84316
trip\02\00561.wav=Pat, @84436
trip\02\00562.wav=Pat!! @84544
trip\02\00563.wav=Pat, @84656
trip\02\00564.wav=Pat, @84764
trip\02\00565.wav=Pat, @84872
trip\02\00566.wav=Pat, @84980
trip\02\00567.wav=Pat, @85088
trip\02\00568.wav=Pat, @85196
trip\02\00569.wav=Pat, @85304
trip\02\00570.wav=Pat!! @85412
trip\02\00571.wav=Pat, @85524
trip\02\00572.wav=Pat, @85632
trip\02\00573.wav=Pat, @85740
trip\02\00574.wav=Pat, @85848
trip\02\00575.wav=Pat, @85956
trip\02\00576.wav=Pat, @86064
trip\02\00577.wav=Paul, @86172
trip\02\00578.wav=Paul!! @86284
trip\02\00579.wav=Paul, @86400
trip\02\00580.wav=Paul, @86512
trip\02\00581.wav=Paul, @86624
trip\02\00582.wav=Paul, @86736
trip\02\00583.wav=Paul, @86848
trip\02\00584.wav=Paul, @86960
trip\02\00585.wav=Peter, @87072
trip\02\00586.wav=Peter!! @87188
trip\02\00587.wav=Peter, @87308
trip\02\00588.wav=Peter, @87424
trip\02\00589.wav=Peter, @87540
trip\02\00590.wav=Peter, @87656
trip\02\00591.wav=Peter, @87772
trip\02\00592.wav=Peter, @87888
trip\02\00593.wav=Rachel, @88012
trip\02\00594.wav=Rachel!! @88140
trip\02\00595.wav=Rachel, @88272
trip\02\00596.wav=Rachel, @88400
trip\02\00597.wav=Rachel, @88528
trip\02\00598.wav=Rachel, @88656
trip\02\00599.wav=Rachel, @88784
trip\02\00600.wav=Rachel, @88912
trip\02\00601.wav=Ray, @89028
trip\02\00602.wav=Ray!! @89132
trip\02\00603.wav=Ray, @89240
trip\02\00604.wav=Ray, @89344
trip\02\00605.wav=Ray, @89448
trip\02\00606.wav=Ray, @89552
trip\02\00607.wav=Ray, @89656
trip\02\00608.wav=Ray, @89760
trip\02\00609.wav=Rich, @89868
trip\02\00610.wav=Rich!! @89980
trip\02\00611.wav=Rich, @90096
trip\02\00612.wav=Rich, @90208
trip\02\00613.wav=Rich, @90320
trip\02\00614.wav=Rich, @90432
trip\02\00615.wav=Rich, @90544
trip\02\00616.wav=Rich, @90656
trip\02\00617.wav=Rob, @90768
trip\02\00618.wav=Rob!! @90876
trip\02\00619.wav=Rob, @90988
trip\02\00620.wav=Rob, @91096
trip\02\00621.wav=Rob, @91204
trip\02\00622.wav=Rob, @91312
trip\02\00623.wav=Rob, @91420
trip\02\00624.wav=Rob, @91528
trip\02\00625.wav=Robin, @91644
trip\02\00626.wav=Robin!! @91768
trip\02\00627.wav=Robin, @91896
trip\02\00628.wav=Robin, @92020
trip\02\00629.wav=Robin, @92144
trip\02\00630.wav=Robin, @92268
trip\02\00631.wav=Robin, @92392
trip\02\00632.wav=Robin, @92516
trip\02\00633.wav=Ryan, @92636
trip\02\00634.wav=Ryan!! @92752
trip\02\00635.wav=Ryan, @92872
trip\02\00636.wav=Ryan, @92988
trip\02\00637.wav=Ryan, @93104
trip\02\00638.wav=Ryan, @93220
trip\02\00639.wav=Ryan, @93336
trip\02\00640.wav=Ryan, @93452
trip\02\00641.wav=Sam, @93564
trip\02\00642.wav=Sam!! @93672
trip\02\00643.wav=Sam, @93784
trip\02\00644.wav=Sam, @93892
trip\02\00645.wav=Sam, @94000
trip\02\00646.wav=Sam, @94108
trip\02\00647.wav=Sam, @94216
trip\02\00648.wav=Sam, @94324
trip\02\00649.wav=Sam, @94432
trip\02\00650.wav=Sam!! @94540
trip\02\00651.wav=Sam, @94652
trip\02\00652.wav=Sam, @94760
trip\02\00653.wav=Sam, @94868
trip\02\00654.wav=Sam, @94976
trip\02\00655.wav=Sam, @95084
trip\02\00656.wav=Sam, @95192
trip\02\00657.wav=Sarah, @95304
trip\02\00658.wav=Sarah!! @95424
trip\02\00659.wav=Sarah, @95548
trip\02\00660.wav=Sarah, @95668
trip\02\00661.wav=Sarah, @95788
trip\02\00662.wav=Sarah, @95908
trip\02\00663.wav=Sarah, @96028
trip\02\00664.wav=Sarah, @96148
trip\02\00665.wav=Scott, @96268
trip\02\00666.wav=Scott!! @96388
trip\02\00667.wav=Scott, @96512
trip\02\00668.wav=Scott, @96632
trip\02\00669.wav=Scott, @96752
trip\02\00670.wav=Scott, @96872
trip\02\00671.wav=Scott, @96992
trip\02\00672.wav=Scott, @97112
trip\02\00673.wav=Stacy, @97236
trip\02\00674.wav=Stacy!! @97360
trip\02\00675.wav=Stacy, @97488
trip\02\00676.wav=Stacy, @97612
trip\02\00677.wav=Stacy, @97736
trip\02\00678.wav=Stacy, @97860
trip\02\00679.wav=Stacy, @97984
trip\02\00680.wav=Stacy, @98108
trip\02\00681.wav=Steph, @98228
trip\02\00682.wav=Steph!! @98348
trip\02\00683.wav=Steph, @98472
trip\02\00684.wav=Steph, @98592
trip\02\00685.wav=Steph, @98712
trip\02\00686.wav=Steph, @98832
trip\02\00687.wav=Steph, @98952
trip\02\00688.wav=Steph, @99072
trip\02\00689.wav=Tammy, @99192
trip\02\00690.wav=Tammy!! @99312
trip\02\00691.wav=Tammy, @99436
trip\02\00692.wav=Tammy, @99556
trip\02\00693.wav=Tammy, @99676
trip\02\00694.wav=Tammy, @99796
trip\02\00695.wav=Tammy, @99916
trip\02\00696.wav=Tammy, @100036
trip\02\00697.wav=Tania, @100160
trip\02\00698.wav=Tania!! @100284
trip\02\00699.wav=Tania, @100412
trip\02\00700.wav=Tania, @100536
trip\02\00701.wav=Tania, @100660
trip\02\00702.wav=Tania, @100784
trip\02\00703.wav=Tania, @100908
trip\02\00704.wav=Tania, @101032
trip\02\00705.wav=Ted, @101148
trip\02\00706.wav=Ted!! @101256
trip\02\00707.wav=Ted, @101368
trip\02\00708.wav=Ted, @101476
trip\02\00709.wav=Ted, @101584
trip\02\00710.wav=Ted, @101692
trip\02\00711.wav=Ted, @101800
trip\02\00712.wav=Ted, @101908
trip\02\00713.wav=Tim, @102016
trip\02\00714.wav=Tim!! @102124
trip\02\00715.wav=Tim, @102236
trip\02\00716.wav=Tim, @102344
trip\02\00717.wav=Tim, @102452
trip\02\00718.wav=Tim, @102560
trip\02\00719.wav=Tim, @102668
trip\02\00720.wav=Tim, @102776
trip\02\00721.wav=Tom, @102885
trip\02\00722.wav=Tom!! @102992
trip\02\00723.wav=Tom, @103104
trip\02\00724.wav=Tom, @103212
trip\02\00725.wav=Tom, @103320
trip\02\00726.wav=Tom, @103428
trip\02\00727.wav=Tom, @103536
trip\02\00728.wav=Tom, @103644
trip\02\00729.wav=Walter, @103756
trip\02\00730.wav=Walter!! @103880
