grace\01\00009.wav=Adam, @14316
grace\01\00397.wav=Kate, @59064
grace\01\00398.wav=Kate, @59176
grace\01\00399.wav=Kate, @59288
grace\01\00401.wav=Keith, @59624
grace\01\00402.wav=Keith, @59740
grace\01\00404.wav=Keith, @59856
grace\01\00405.wav=Keith, @59972
grace\01\00406.wav=Keith, @60088
grace\01\00407.wav=Keith, @60204
grace\01\00409.wav=Kelly, @60556
grace\01\00410.wav=Kelly, @60676
grace\01\00412.wav=Kelly, @60796
grace\01\00413.wav=Kelly, @60916
grace\01\00414.wav=Kelly, @61036
grace\01\00415.wav=Kelly, @61156
grace\01\00417.wav=Kelly, @61276
grace\01\00418.wav=Kelly, @61396
grace\01\00420.wav=Kelly, @61516
grace\01\00421.wav=Kelly, @61636
grace\01\00422.wav=Kelly, @61756
grace\01\00423.wav=Kelly, @61876
grace\01\00425.wav=Kevin, @62480
grace\01\00426.wav=Kevin, @62604
grace\01\00428.wav=Kevin, @62728
grace\01\00429.wav=Kevin, @62852
grace\01\00430.wav=Kevin, @62976
grace\01\00431.wav=Kevin, @63100
grace\01\00433.wav=Kim, @63464
grace\01\00434.wav=Kim, @63572
grace\01\00436.wav=Kim, @63680
grace\01\00437.wav=Kim, @63788
grace\01\00438.wav=Kim, @63896
grace\01\00439.wav=Kim, @64004
grace\01\00441.wav=Kha, @64328
grace\01\00442.wav=Kha, @64436
grace\01\00444.wav=Kha, @64544
grace\01\00445.wav=Kha, @64652
grace\01\00446.wav=Kha, @64760
grace\01\00447.wav=Kha, @64868
grace\01\00449.wav=Lisa, @65196
grace\01\00450.wav=Lisa, @65312
grace\01\00452.wav=Lisa, @65428
grace\01\00453.wav=Lisa, @65544
grace\01\00454.wav=Lisa, @65660
grace\01\00455.wav=Lisa, @65776
grace\01\00457.wav=Liz, @66120
grace\01\00458.wav=Liz, @66228
grace\01\00460.wav=Liz, @66336
grace\01\00461.wav=Liz, @66444
grace\01\00462.wav=Liz, @66552
grace\01\00463.wav=Liz, @66660
grace\01\00465.wav=Mark, @66988
grace\01\00466.wav=Mark, @67104
grace\01\00468.wav=Mark, @67220
grace\01\00469.wav=Mark, @67336
grace\01\00470.wav=Mark, @67452
grace\01\00471.wav=Mark, @67568
grace\01\00473.wav=Mary, @67916
grace\01\00474.wav=Mary, @68032
grace\01\00476.wav=Mary, @68148
grace\01\00477.wav=Mary, @68264
grace\01\00478.wav=Mary, @68380
grace\01\00479.wav=Mary, @68496
grace\01\00481.wav=Matt, @68840
grace\01\00482.wav=Matt, @68952
grace\01\00484.wav=Matt, @69064
grace\01\00485.wav=Matt, @69176
grace\01\00486.wav=Matt, @69288
grace\01\00487.wav=Matt, @69400
grace\01\00489.wav=Mel, @69736
grace\01\00490.wav=Mel, @69844
grace\01\00492.wav=Mel, @69952
grace\01\00493.wav=Mel, @70060
grace\01\00494.wav=Mel, @70168
grace\01\00495.wav=Mel, @70276
grace\01\00497.wav=Mel, @70384
grace\01\00498.wav=Mel, @70492
grace\01\00500.wav=Mel, @70600
grace\02\00501.wav=Mel, @70708
grace\02\00502.wav=Mel, @70816
grace\02\00503.wav=Mel, @70924
grace\02\00505.wav=Michael, @71472
grace\02\00506.wav=Michael, @71604
grace\02\00508.wav=Michael, @71736
grace\02\00509.wav=Michael, @71868
grace\02\00510.wav=Michael, @72000
grace\02\00511.wav=Michael, @72132
grace\02\00513.wav=Nat, @72520
grace\02\00514.wav=Nat, @72628
grace\02\00516.wav=Nat, @72736
grace\02\00517.wav=Nat, @72844
grace\02\00518.wav=Nat, @72952
grace\02\00519.wav=Nat, @73060
grace\02\00521.wav=Nat, @73168
grace\02\00522.wav=Nat, @73276
grace\02\00524.wav=Nat, @73384
grace\02\00525.wav=Nat, @73492
grace\02\00526.wav=Nat, @73600
grace\02\00527.wav=Nat, @73708
grace\02\00529.wav=Nick, @74248
grace\02\00530.wav=Nick, @74360
grace\02\00532.wav=Nick, @74472
grace\02\00533.wav=Nick, @74584
grace\02\00534.wav=Nick, @74696
grace\02\00535.wav=Nick, @74808
grace\02\00537.wav=Nicole, @75152
grace\02\00538.wav=Nicole, @75280
grace\02\00540.wav=Nicole, @75408
grace\02\00541.wav=Nicole, @75536
grace\02\00542.wav=Nicole, @75664
grace\02\00543.wav=Nicole, @75792
grace\02\00545.wav=Noah, @76168
grace\02\00546.wav=Noah, @76280
grace\02\00548.wav=Noah, @76392
grace\02\00549.wav=Noah, @76504
grace\02\00550.wav=Noah, @76616
grace\02\00551.wav=Noah, @76728
grace\02\00553.wav=Olivia, @77076
grace\02\00554.wav=Olivia, @77208
grace\02\00556.wav=Olivia, @77340
grace\02\00557.wav=Olivia, @77472
grace\02\00558.wav=Olivia, @77604
grace\02\00559.wav=Olivia, @77736
grace\02\00561.wav=Pat, @78120
grace\02\00562.wav=Pat, @78228
grace\02\00564.wav=Pat, @78336
grace\02\00565.wav=Pat, @78444
grace\02\00566.wav=Pat, @78552
grace\02\00567.wav=Pat, @78660
grace\02\00569.wav=Pat, @78768
grace\02\00570.wav=Pat, @78876
grace\02\00572.wav=Pat, @78984
grace\02\00573.wav=Pat, @79093
grace\02\00574.wav=Pat, @79200
grace\02\00575.wav=Pat, @79308
grace\02\00577.wav=Paul, @79848
grace\02\00578.wav=Paul, @79960
grace\02\00580.wav=Paul, @80072
grace\02\00581.wav=Paul, @80184
grace\02\00582.wav=Paul, @80296
grace\02\00583.wav=Paul, @80408
grace\02\00585.wav=Peter, @80744
grace\02\00586.wav=Peter, @80860
grace\02\00588.wav=Peter, @80976
grace\02\00589.wav=Peter, @81092
grace\02\00590.wav=Peter, @81208
grace\02\00591.wav=Peter, @81324
grace\02\00593.wav=Rachel, @81680
grace\02\00594.wav=Rachel, @81808
grace\02\00596.wav=Rachel, @81936
grace\02\00597.wav=Rachel, @82064
grace\02\00598.wav=Rachel, @82192
grace\02\00599.wav=Rachel, @82320
grace\02\00601.wav=Ray, @82692
grace\02\00602.wav=Ray, @82796
grace\02\00604.wav=Ray, @82900
grace\02\00605.wav=Ray, @83004
grace\02\00606.wav=Ray, @83108
grace\02\00607.wav=Ray, @83212
grace\02\00609.wav=Rich, @83528
grace\02\00610.wav=Rich, @83640
grace\02\00612.wav=Rich, @83752
grace\02\00613.wav=Rich, @83864
grace\02\00614.wav=Rich, @83976
grace\02\00615.wav=Rich, @84088
grace\02\00617.wav=Rob, @84424
grace\02\00618.wav=Rob, @84532
grace\02\00620.wav=Rob, @84640
grace\02\00621.wav=Rob, @84748
grace\02\00622.wav=Rob, @84856
grace\02\00623.wav=Rob, @84964
grace\02\00625.wav=Robin, @85296
grace\02\00626.wav=Robin, @85420
grace\02\00628.wav=Robin, @85544
grace\02\00629.wav=Robin, @85668
grace\02\00630.wav=Robin, @85792
grace\02\00631.wav=Robin, @85916
grace\02\00633.wav=Ryan, @86284
grace\02\00634.wav=Ryan, @86400
grace\02\00636.wav=Ryan, @86516
grace\02\00637.wav=Ryan, @86632
grace\02\00638.wav=Ryan, @86748
grace\02\00639.wav=Ryan, @86864
grace\02\00641.wav=Sam, @87208
grace\02\00642.wav=Sam, @87316
grace\02\00644.wav=Sam, @87424
grace\02\00645.wav=Sam, @87532
grace\02\00646.wav=Sam, @87640
grace\02\00647.wav=Sam, @87748
grace\02\00649.wav=Sam, @87856
grace\02\00650.wav=Sam, @87964
grace\02\00652.wav=Sam, @88072
grace\02\00653.wav=Sam, @88180
grace\02\00654.wav=Sam, @88288
grace\02\00655.wav=Sam, @88396
grace\02\00657.wav=Sarah, @88940
grace\02\00658.wav=Sarah, @89060
grace\02\00660.wav=Sarah, @89180
grace\02\00661.wav=Sarah, @89300
grace\02\00662.wav=Sarah, @89420
grace\02\00663.wav=Sarah, @89540
grace\02\00665.wav=Scott, @89900
grace\02\00666.wav=Scott, @90020
grace\02\00668.wav=Scott, @90140
grace\02\00669.wav=Scott, @90260
grace\02\00670.wav=Scott, @90380
grace\02\00671.wav=Scott, @90500
grace\02\00673.wav=Stacy, @90864
grace\02\00674.wav=Stacy, @90988
grace\02\00676.wav=Stacy, @91112
grace\02\00677.wav=Stacy, @91236
grace\02\00678.wav=Stacy, @91360
grace\02\00679.wav=Stacy, @91484
grace\02\00681.wav=Steph, @91852
grace\02\00682.wav=Steph, @91972
grace\02\00684.wav=Steph, @92092
grace\02\00685.wav=Steph, @92212
grace\02\00686.wav=Steph, @92332
grace\02\00687.wav=Steph, @92452
grace\02\00689.wav=Tammy, @92812
grace\02\00690.wav=Tammy, @92932
grace\02\00692.wav=Tammy, @93052
grace\02\00693.wav=Tammy, @93172
grace\02\00694.wav=Tammy, @93292
grace\02\00695.wav=Tammy, @93412
grace\02\00697.wav=Tania, @93776
grace\02\00698.wav=Tania, @93900
grace\02\00700.wav=Tania, @94024
grace\02\00701.wav=Tania, @94148
grace\02\00702.wav=Tania, @94272
grace\02\00703.wav=Tania, @94396
grace\02\00705.wav=Ted, @94760
grace\02\00706.wav=Ted, @94868
grace\02\00708.wav=Ted, @94976
grace\02\00709.wav=Ted, @95084
grace\02\00710.wav=Ted, @95192
grace\02\00711.wav=Ted, @95300
grace\02\00713.wav=Tim, @95624
grace\02\00714.wav=Tim, @95732
grace\02\00716.wav=Tim, @95840
grace\02\00717.wav=Tim, @95948
grace\02\00718.wav=Tim, @96056
grace\02\00719.wav=Tim, @96164
grace\02\00721.wav=Tom, @96488
grace\02\00722.wav=Tom, @96596
grace\02\00724.wav=Tom, @96704
grace\02\00725.wav=Tom, @96812
grace\02\00726.wav=Tom, @96920
grace\02\00727.wav=Tom, @97028
grace\02\00729.wav=Walter, @97356
grace\02\00730.wav=Walter, @97480
grace\02\00732.wav=Walter, @97604
grace\02\00733.wav=Walter, @97728
grace\02\00734.wav=Walter, @97852
grace\02\00735.wav=Walter, @97976
grace\02\00737.wav=Warren, @98352
grace\02\00738.wav=Warren, @98480
grace\02\00740.wav=Warren, @98608
grace\02\00741.wav=Warren, @98736
grace\02\00742.wav=Warren, @98864
grace\02\00743.wav=Warren, @98992
grace\02\00745.wav=Will, @99368
grace\02\00746.wav=Will, @99480
grace\02\00748.wav=Will, @99592
grace\02\00749.wav=Will, @99704
grace\02\00750.wav=Will, @99816
grace\02\00751.wav=Will, @99928
grace\02\00753.wav=What for?@100276
grace\02\00754.wav=Oh God, Trip, don't turn this into a big production, please!@100524
grace\02\00755.wav=What -- Trip, don't give me that look!@100924
grace\02\00756.wav=You're going to drive me crazy!@101220
grace\02\00757.wav=Trip, when are you going to get rid of this?@101524
grace\02\00758.wav=Yes, you know how I feel about it --@101848
grace\02\00759.wav=You know I've had to ask you about this several --@102176
grace\02\00760.wav=Fine, Trip... fine...@102488
grace\02\00761.wav=What?! You said he's coming an hour from now!@102740
grace\02\00762.wav=What?! You said she's coming an hour from now!@103092
grace\02\00763.wav=Trip...!@103364
grace\02\00764.wav=What?! You told me it'd be an hour from now!@103576
grace\02\00765.wav=God... Trip!@103852
grace\02\00766.wav=No, no, here we are!@104016
grace\02\00767.wav=Hi!  How are you?  God it's been a while!@104264
grace\02\00768.wav=Hi!  How are you?  Oh it's so nice to see you, it feels like it's been forever!@104676
grace\02\00769.wav=Hi!  How are you?  Oh god it's been such a long time!@105188
grace\02\00770.wav=Hi!  How are you?  I'm so happy to see you after so long! @105600
grace\02\00771.wav=By the way, you look wonderful!  @105988
grace\02\00772.wav=And I have to say, you look great.@106276
grace\02\00773.wav=By the way, you look fabulous!@106572
grace\02\00774.wav=And, I've got to say, you look really good!@106872
grace\02\00775.wav=I just asked him that...@107176
grace\02\00776.wav=I just asked her that...@107400
grace\02\00777.wav=Uh, I just asked him that...@107632
grace\02\00778.wav=Uh, I just asked her that...@107876
grace\02\00779.wav=Well, come on in, make yourself at home!@108168
grace\02\00780.wav=Make yourself at home, come on in!@108496
grace\02\00781.wav=So come on in, make yourself at home!@108808
grace\02\00782.wav=So, good, make yourself at home!@109116
grace\02\00783.wav=Yes, so, make yourself at home!@109404
grace\02\00784.wav=So, please, make yourself at home!@109688
grace\02\00785.wav=Well, come in, make yourself at home...@109988
grace\02\00786.wav=So, come in, make yourself at home...@110304
grace\02\00787.wav=So, please, make yourself at home...@110604
grace\02\00788.wav=Well, so, make yourself at home...@110900
grace\02\00789.wav=Well, anyway... make yourself at home...@111200
grace\02\00790.wav=Well, um... make yourself at home, I guess...@111528
grace\02\00791.wav=Hmm!@111788
grace\02\00792.wav=Hmm!@111884
grace\02\00793.wav=Hmm!@111980
grace\02\00794.wav=Good...!  Good...!  @112096
grace\02\00795.wav=We're very good.@112292
grace\02\00796.wav=Oh, um, good, we're good.  Really good.@112508
grace\02\00797.wav=Oh we're good, we're good... um... Yes!@112812
grace\02\00798.wav=Oh, ha ha...  things are good.  @113088
grace\02\00799.wav=We're in our new apartment now.@113372
grace\02\00800.wav=Good!  Yes!  @113596
grace\02\00801.wav=Very good.  Some exciting things at work I'll have to tell you about.@113876
grace\02\00802.wav=What?  Oh, no, we're fine, this is perfect, it's so wonderful to see you!@114388
grace\02\00803.wav=What?  No, no, we're fine, I've been dying to see you for so long, this is wonderful!@114944
grace\02\00804.wav=Oh, ha ha ha!@115376
grace\02\00805.wav=Oh,@115508
grace\02\00806.wav=Aw, ha ha ha!@115612
grace\02\00807.wav=Aw,@115744
grace\02\00808.wav=Oh, @115836
grace\02\00809.wav=you've always got such nice things to say. @116024
grace\02\00810.wav=that's so nice of you to say! @116340
grace\02\00811.wav=Uh...@116540
grace\02\00812.wav=Uh...@116640
grace\02\00813.wav=Uh...@116740
grace\02\00814.wav=Uh...@116840
grace\02\00815.wav=Uh...@116940
grace\02\00816.wav=Uh...@117040
grace\02\00817.wav=Oh, ha ha...@117148
grace\02\00818.wav=I forgot how flirtatious you are.  You're funny.@117368
grace\02\00819.wav=Ha ha!  Well, @117656
grace\02\00820.wav=maybe you've already had a drink or two on the way over here, I don't know, ha ha...@117952
grace\02\00821.wav=Well, @118376
grace\02\00822.wav=ha ha, that's kind of a bold way to say hello... uh... @118584
grace\02\00823.wav=that's a... that's an interesting way to say hello... @118988
grace\02\00824.wav=you're such a kidder, ha ha...@119328
grace\02\00825.wav=Oh, yes, @119540
grace\02\00826.wav=You're so sweet.@119689
grace\02\00827.wav=Oh, yes, @119844
grace\02\00828.wav=How sweet.@119976
grace\02\00829.wav=Oh, yes, let's... @120124
grace\02\00830.wav=Aren't you sweet.@120316
grace\02\00831.wav=Oh, yes, let's... @120492
grace\02\00832.wav=you're so sweet.@120676
grace\02\00833.wav=Oh, uh... that's sweet of you.@120872
grace\02\00834.wav=Oh... @121072
grace\02\00835.wav=aren't you sweet.@121216
grace\02\00836.wav=Oh, uh... ha ha...@121376
grace\02\00837.wav=Oh... ha ha ha...@121540
grace\02\00838.wav=Uh... well... @121700
grace\02\00839.wav=Uh... well... um... @121856
grace\02\00840.wav=Uh...  @122016
grace\02\00841.wav=um... @122128
grace\02\00842.wav=Well, come on in, make yourself at home!@122324
grace\02\00843.wav=Well, make yourself at home, come on in!@122656
grace\02\00844.wav=Well, make yourself at home!@122960
grace\02\00845.wav=Well, make yourself at home!@123216
grace\02\00846.wav=Y -- yeah, it's -- it's great to see you!@123476
grace\02\00847.wav=Wha -- no, no, it's good to see you...@123788
grace\02\00848.wav=Uh, well, it's -- it's great to see you.@124092
grace\02\00849.wav=Uh, well, it's -- it's good to see you.@124404
grace\02\00850.wav=Oh, um...@124648
grace\02\00851.wav=Y -- yeah, yeah yeah...@124788
grace\02\00852.wav=Wha -- no, no no, it's good to see you...@125036
grace\02\00853.wav=Uh, well, it's -- it's good to see you.@125352
grace\02\00854.wav=Y -- yes, come in...@125620
grace\02\00855.wav=N -- no, make yourself at home...@125836
grace\02\00856.wav=Uh, well, come in...@126080
grace\02\00857.wav=W -- well, make yourself at home...@126300
grace\02\00858.wav=N -- no, uhh, make yourself at home...@126580
grace\02\00859.wav=Yes, it does.@126840
grace\02\00860.wav=hmmm@127960
grace\02\00861.wav=seeing you again makes me remember the wonderful times we all used to have. @127168
grace\02\00862.wav=seeing you brings back wonderful memories, really...@127672
grace\02\00863.wav=Yes...@128064
grace\02\00864.wav=What?@128176
grace\02\00865.wav=What...@128284
grace\02\00866.wav=What...@128400
grace\02\00867.wav=What do you mean?@128544
grace\02\00868.wav=It is?@128704
grace\02\00869.wav=What, Trip, what?@128840
grace\02\00870.wav=What...@128996
grace\02\00871.wav=What do you mean?@129140
grace\02\00872.wav=It is?@129300
grace\02\00873.wav=Oh... geez...@129416
grace\02\00875.wav=Oh... geez...@129560
grace\02\00876.wav=Oh... god...@129704
grace\02\00877.wav=Oh... geez...@129844
grace\02\00878.wav=Oh... god...@129988
grace\02\00879.wav=Pain.@130132
grace\02\00880.wav=Love.@130240
